Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
Cobalt Blue,#0F10CE,A deep and vibrant shade of blue.,"Intense, Mysterious","Bold, Trustworthy, Confident","Cool, Powerful, Serene","Represents wisdom, truth, and loyalty in many cultures.","Ideal for logo designs, branding for technology companies, and as a primary color in graphic design projects.","Deep Blue, Intense, Bold, Trustworthy, Technology.","A deep and vibrant shade of blue. Intense, Mysterious Bold, Trustworthy, Confident Cool, Powerful, Serene Represents wisdom, truth, and loyalty in many cultures. Ideal for logo designs, branding for technology companies, and as a primary color in graphic design projects. Deep Blue, Intense, Bold, Trustworthy, Technology."
Cobalt Blue,#1B4FD9,"A vibrant, deep shade of blue, often associated with the color of cobalt metal.","Trust, Loyalty, Professionalism","Reliable, Confident, Powerful","Strong, Deep, Vibrant","Stability, Dependability, Truthfulness",Ideal for professional settings such as corporate branding or technology-related products. Also used in web design and digital media for call-to-action buttons and links.,"Corporate, Trustworthy, Strong, Deep Blue, Vibrant, Cobalt, Technology, Professional, Reliable","A vibrant, deep shade of blue, often associated with the color of cobalt metal. Trust, Loyalty, Professionalism Reliable, Confident, Powerful Strong, Deep, Vibrant Stability, Dependability, Truthfulness Ideal for professional settings such as corporate branding or technology-related products. Also used in web design and digital media for call-to-action buttons and links. Corporate, Trustworthy, Strong, Deep Blue, Vibrant, Cobalt, Technology, Professional, Reliable"
Maroon Deep,#540746,"A rich, deep shade of maroon.","Intense, Warmth, Dramatic","Mysterious, Strong, Sophisticated","Elegant, Powerful, Dignified","Maroon Deep often symbolizes sacrifice, stability, and strength in relationships or commitments.","Ideal for luxury brands, high-end fashion, and dramatic interiors.","Rich, Deep, Mysterious, Elegant, Powerful","A rich, deep shade of maroon. Intense, Warmth, Dramatic Mysterious, Strong, Sophisticated Elegant, Powerful, Dignified Maroon Deep often symbolizes sacrifice, stability, and strength in relationships or commitments. Ideal for luxury brands, high-end fashion, and dramatic interiors. Rich, Deep, Mysterious, Elegant, Powerful"
Burgundy Wine,#A6263C,"A rich, deep shade of red with a hint of purple.","Passionate, Dramatic","Bold, Elegant, Mysterious","Luxurious, Romantic, Intense","Burgundy wine symbolizes luxury, sophistication, and tradition. It may also represent the passing of time.","Ideal for high-end fashion, luxury branding, and romantic designs.","Rich, Deep, Dark Red, Wine, Luxurious, Elegant, Passionate, Dramatic, Mysterious, Romantic, Intense, High-End Fashion, Branding, Traditional, Sophisticated.","A rich, deep shade of red with a hint of purple. Passionate, Dramatic Bold, Elegant, Mysterious Luxurious, Romantic, Intense Burgundy wine symbolizes luxury, sophistication, and tradition. It may also represent the passing of time. Ideal for high-end fashion, luxury branding, and romantic designs. Rich, Deep, Dark Red, Wine, Luxurious, Elegant, Passionate, Dramatic, Mysterious, Romantic, Intense, High-End Fashion, Branding, Traditional, Sophisticated."
Fuchsia Magenta,#ED1058,A bold and eye-catching shade of magenta.,"Passion, Drama","Impulsive, Vibrant, Expressive","Energetic, Exciting","Love, Desire, Creativity","Ideal for drawing attention, branding, and design elements that need to stand out.","Bright, Bold, Passionate, Dramatic, Magenta, Fuchsia, Vivid","A bold and eye-catching shade of magenta. Passion, Drama Impulsive, Vibrant, Expressive Energetic, Exciting Love, Desire, Creativity Ideal for drawing attention, branding, and design elements that need to stand out. Bright, Bold, Passionate, Dramatic, Magenta, Fuchsia, Vivid"
Deep Sapphire Blue,#0E3472,"A rich, deep shade of blue with a hint of purple.","Calmness, Serenity, Trustworthiness","Reliable, Mysterious, Dependable","Cool, Sophisticated, Luxurious","Loyalty, Wisdom, Stability in the face of change. It is also associated with the sky and the sea.","Ideal for corporate branding, as a primary or accent color, or in designs that convey luxury, elegance, or stability.","Deep, Blue, Rich, Calm, Trustworthy, Luxurious, Elegant, Corporate, Stable, Sophisticated, Reliable.","A rich, deep shade of blue with a hint of purple. Calmness, Serenity, Trustworthiness Reliable, Mysterious, Dependable Cool, Sophisticated, Luxurious Loyalty, Wisdom, Stability in the face of change. It is also associated with the sky and the sea. Ideal for corporate branding, as a primary or accent color, or in designs that convey luxury, elegance, or stability. Deep, Blue, Rich, Calm, Trustworthy, Luxurious, Elegant, Corporate, Stable, Sophisticated, Reliable."
Lime Green,#B7EE79,"A bright and fresh color, similar to the green of a lime.","Excitement, Freshness, Energy","Spirited, Vital, Invigorating","Energizing, Playful, Refreshing","Growth, Renewal, Vitality","Ideal for designs that aim to evoke feelings of freshness, energy, or nature. Can be used in branding related to sustainability, eco-friendliness, and youthful energy.","Bright, Lime, Green, Fresh, Energy, Vibrant, Nature, Playful, Energizing","A bright and fresh color, similar to the green of a lime. Excitement, Freshness, Energy Spirited, Vital, Invigorating Energizing, Playful, Refreshing Growth, Renewal, Vitality Ideal for designs that aim to evoke feelings of freshness, energy, or nature. Can be used in branding related to sustainability, eco-friendliness, and youthful energy. Bright, Lime, Green, Fresh, Energy, Vibrant, Nature, Playful, Energizing"
Burgundy Maroon,#5B0804,A deep and intense shade of maroon.,"Warmth, Richness, Sophistication","Majestic, Strong, Elegant","Luxurious, Mysterious, Powerful","Tradition, Harvest, Nobility, Luxury","Ideal for formal events, high-end fashion, interior design, and special occasion branding.","Dark, Intense, Majestic, Rich, Elegant, Formal, Luxurious, Mysterious, Powerful, Traditional, Noble, Harvest.","A deep and intense shade of maroon. Warmth, Richness, Sophistication Majestic, Strong, Elegant Luxurious, Mysterious, Powerful Tradition, Harvest, Nobility, Luxury Ideal for formal events, high-end fashion, interior design, and special occasion branding. Dark, Intense, Majestic, Rich, Elegant, Formal, Luxurious, Mysterious, Powerful, Traditional, Noble, Harvest."
Dodecahex Blue (#104DF0),#104DF0,"A vibrant, rich shade of blue.","Vitality, Innovation","Bold, Adventurous","Exciting, Energetic","Communication, Technology, Trustworthiness","Web design for tech companies, logos for innovative brands.","Tech, Innovation, Trust, Energy, Bright Blue.","A vibrant, rich shade of blue. Vitality, Innovation Bold, Adventurous Exciting, Energetic Communication, Technology, Trustworthiness Web design for tech companies, logos for innovative brands. Tech, Innovation, Trust, Energy, Bright Blue."
Sunnyside Yellow,#E7EF05,A lively and radiant shade of yellow.,"Joyful, cheerful, energetic","Outgoing, optimistic, charismatic","Sunny, playful, spirited","Happiness, positivity, enlightenment",Ideal for designs that require a strong attention-grabbing element or to evoke feelings of joy and energy.,"Vibrant, Lively, Cheerful, Sunny, Optimistic","A lively and radiant shade of yellow. Joyful, cheerful, energetic Outgoing, optimistic, charismatic Sunny, playful, spirited Happiness, positivity, enlightenment Ideal for designs that require a strong attention-grabbing element or to evoke feelings of joy and energy. Vibrant, Lively, Cheerful, Sunny, Optimistic"
Lime Green,#93DF47,A bright and refreshing shade of green.,"Energetic, Fresh, Exciting","Adventurous, Outgoing, Vital","Cheerful, Invigorating","Growth, Renewal, Success in endeavors","Ideal for logos and branding of companies focusing on energy, technology, or eco-friendly products.","Vibrant, Bright, Fresh, Energetic, Green, Lime, Cheerful","A bright and refreshing shade of green. Energetic, Fresh, Exciting Adventurous, Outgoing, Vital Cheerful, Invigorating Growth, Renewal, Success in endeavors Ideal for logos and branding of companies focusing on energy, technology, or eco-friendly products. Vibrant, Bright, Fresh, Energetic, Green, Lime, Cheerful"
Sage Green,#53C132,"A vibrant, fresh shade of green.","Tranquility, Growth, Harmony","Wise, Natural, Balanced","Relaxing, Peaceful, Fresh","New beginnings, prosperity, ambition","Ideal for natural and eco-friendly designs, as well as tech products.","Fresh, Vibrant, Nature, Growth, Ambition, Balanced, Tranquil, Relaxing","A vibrant, fresh shade of green. Tranquility, Growth, Harmony Wise, Natural, Balanced Relaxing, Peaceful, Fresh New beginnings, prosperity, ambition Ideal for natural and eco-friendly designs, as well as tech products. Fresh, Vibrant, Nature, Growth, Ambition, Balanced, Tranquil, Relaxing"
Seafoam Green,#77D67E,A vibrant and fresh shade of green reminiscent of seaweed and calm ocean waters.,"Tranquil, refreshing, invigorating","Carefree, friendly, optimistic","Calm, serene, revitalizing","Can symbolize renewal, growth, and the natural world. It may also represent hope and harmony.","Ideal for creating a relaxed and refreshing atmosphere, such as in spa interiors or summer-themed designs.","Fresh, calming, nature, summer, tranquility, renewal, growth.","A vibrant and fresh shade of green reminiscent of seaweed and calm ocean waters. Tranquil, refreshing, invigorating Carefree, friendly, optimistic Calm, serene, revitalizing Can symbolize renewal, growth, and the natural world. It may also represent hope and harmony. Ideal for creating a relaxed and refreshing atmosphere, such as in spa interiors or summer-themed designs. Fresh, calming, nature, summer, tranquility, renewal, growth."
Deep Raspberry,#ED4581,A bold and lively shade of red with a hint of purple.,"Passionate, Energetic","Outgoing, Dramatic, Vibrant","Exciting, Intense","Can symbolize love, desire, passion, or strong emotions.","Ideal for catching attention in design elements such as logos, branding, and call-to-action buttons.","Passionate, Bold, Vibrant, Energetic, Dramatic, Raspberry, Red, Intense, Love, Desire, Strong emotions.","A bold and lively shade of red with a hint of purple. Passionate, Energetic Outgoing, Dramatic, Vibrant Exciting, Intense Can symbolize love, desire, passion, or strong emotions. Ideal for catching attention in design elements such as logos, branding, and call-to-action buttons. Passionate, Bold, Vibrant, Energetic, Dramatic, Raspberry, Red, Intense, Love, Desire, Strong emotions."
#87B2D1 (Hex Code),#87B2D1,A vibrant and serene shade of light blue.,"Calm, Tranquil, Peaceful","Intelligent, Creative, Reliable","Cool, Soothing, Dreamy","May symbolize intelligence, trust, and creativity. It can also represent the sky or ocean.","Ideal for designing websites, digital graphics, and as a background color for calming spaces.","Light Blue, Calm, Serene, Intelligence, Creativity, Trustworthy, Digital, Web Design.","A vibrant and serene shade of light blue. Calm, Tranquil, Peaceful Intelligent, Creative, Reliable Cool, Soothing, Dreamy May symbolize intelligence, trust, and creativity. It can also represent the sky or ocean. Ideal for designing websites, digital graphics, and as a background color for calming spaces. Light Blue, Calm, Serene, Intelligence, Creativity, Trustworthy, Digital, Web Design."
Lime green,#62B022,A bright and invigorating shade of lime green.,"Energy, Optimism","Adventurous, Spirited","Lively, Cheerful","Growth, Renewal, Abundance","Ideal for branding in outdoor activities, environmental causes, and tech-related products.","Vibrant, Lime, Green, Energy, Freshness, Nature, Technology, Optimism, Adventure","A bright and invigorating shade of lime green. Energy, Optimism Adventurous, Spirited Lively, Cheerful Growth, Renewal, Abundance Ideal for branding in outdoor activities, environmental causes, and tech-related products. Vibrant, Lime, Green, Energy, Freshness, Nature, Technology, Optimism, Adventure"
Sapphire Blue,#4897CA,A vibrant and captivating blue with a hint of purple.,"Peaceful, Calm, Tranquil","Serene, Introspective, Mysterious","Cool, Relaxing, Dreamy","Representative of wisdom, loyalty, and spirituality in various cultures.","Ideal for tech brands, fashion, and design projects seeking a modern and sophisticated look.","Deep, Cool, Vibrant, Elegant, Mysterious, Tech, Fashion, Modern","A vibrant and captivating blue with a hint of purple. Peaceful, Calm, Tranquil Serene, Introspective, Mysterious Cool, Relaxing, Dreamy Representative of wisdom, loyalty, and spirituality in various cultures. Ideal for tech brands, fashion, and design projects seeking a modern and sophisticated look. Deep, Cool, Vibrant, Elegant, Mysterious, Tech, Fashion, Modern"
Goldish Yellow,#E2D426,A vibrant and rich shade of yellow with a hint of gold.,"Warmth, Energy, Optimism","Radiant, Confident, Cheerful","Vibrant, Invigorating","Wealth, Success, Enlightenment",Ideal for creating a sunny and energetic atmosphere in designs.,"Sunshine, Gold, Energy, Warmth, Cheerful, Optimistic, Success, Wealth, Enlightenment, Vibrant","A vibrant and rich shade of yellow with a hint of gold. Warmth, Energy, Optimism Radiant, Confident, Cheerful Vibrant, Invigorating Wealth, Success, Enlightenment Ideal for creating a sunny and energetic atmosphere in designs. Sunshine, Gold, Energy, Warmth, Cheerful, Optimistic, Success, Wealth, Enlightenment, Vibrant"
